"","x"
"1196",381.57
"1197",555.5974
"1198",508.713
"1199",0
"1200",0
"1201",201.1617
"1202",536.9097
"1203",287.3285
"1204",319.0334
"1205",224.2278
"1206",2.9655
"1207",1056.9366
"1208",414.3902
"1209",4473.7794
"1210",829.9886
"1211",312.6027
"1212",383.7061
"1213",2730.9302
"1214",933.75
"1215",801.9622
"1216",851.3623
"1217",385.348
"1218",511.6034
"1219",449.1748
"1220",322.21395
"1221",1201.4662
"1222",813.1663
"1223",646.6622
"1224",3.0917
"1225",329.8562
"1226",426.1851
"1227",451.2639
"1228",280.1184
"1229",362.7771
"1230",337.1459
"1231",381.7322
"1232",336.99705
"1233",93.3636
"1234",569.7475
"1235",321.4981
"1236",737.1799
"1237",0.98455
"1238",727.0034
"1239",468.8477
"1240",853.6036
"1241",376.3726
"1242",417.0699
"1243",550.3571
"1244",648.8887
"1245",541.4065
"1246",418.277
"1247",480.597
"1248",4.15775
"1249",272.354
"1250",36.29315
"1251",338.5661
"1252",109.2851
"1253",15.5405
"1254",204.5245
"1255",177.5124
"1256",199.3034
"1257",64.4428
"1258",190.99385
"1259",63.0494
"1260",210.1548
"1261",96.4826
"1262",136.0532
"1263",0.53815
"1264",73.0408
"1265",1468.2875
"1266",1092.7755
"1267",1345.6853
"1268",1410.8292
"1269",1236.79635
"1270",1196.2764
"1271",1122.0622
"1272",1339.9328
"1273",1427.65235
"1274",7.5147
"1275",1589.1648
"1276",129.5199
"1277",694.6869
"1278",647.0305
"1279",780.3829
"1280",614.4571
"1281",294.3179
"1282",672.2491
"1283",6.31045
"1284",705.3936
"1285",785.3986
"1286",503.8692
"1287",465.534
"1288",620.4896
"1289",913.8728
"1290",623.8377
"1291",672.825
"1292",4.7487
"1293",543.1151
"1294",3266.9393
"1295",2686.3141
"1296",159.6496
"1297",1770.8875
"1298",1340.1406
"1299",317.3346
"1300",16.4271
"1301",0
"1302",2.3154
"1303",0
"1304",8.2531
"1305",12.7055
"1306",2.3163
"1307",0.5583
"1308",5.487
"1309",1.1173
"1310",0.93795
"1311",1.0601
"1312",0.3304
"1313",1.6144
"1314",29.9625
"1315",3.5699
"1316",8.5352
"1317",0.2432
"1318",315.96045
"1319",507.68285
"1320",13.0959
"1321",1409.292
"1322",1883.8051
"1323",486.0933
"1324",454.4079
"1325",620.6897
"1326",349.5417
"1327",511.6846
"1328",3.2721
"1329",349.4357
"1330",3.0204
"1331",26.18305
"1332",0
"1333",12.5814
"1334",0.22145
"1335",488.3785
"1336",337.81695
"1337",461.0992
"1338",1163.14525
"1339",353.0417
"1340",965.8277
"1341",1429.2463
"1342",339.9602
"1343",603.98455
